Code,Metro,H-G firms,TotPerY,PopGrow,HousBurd,College+,HT LQ,HT LabPool,TurnOver,Res-I,NIH/cap,VC/cap,Pat/100K,Central,Dealmkrs,Emerging,PctCommute,PopFlux,BusStarts,HTStarts,HighSchool,Centrality,LN,,,,,,,,,
10740,Albuquerque,2.4466,28793,0.07060,35%,26.53,1.70,5.47,0.11431,1,121.97,68.17,26.19,0,0.55274,1.76876,0.0441,0.07032,0.1877,9.7562,89.9440,0,0.00000,,,,,,,,,
12060,Atlanta,7.5868,188298,0.07560,38%,36.75,1.10,5.42,0.09204,3,103.86,194.59,28.36,34,3.82949,10.54446,0.0447,0.06370,0.2560,12.9919,93.5380,34,3.52636,,,,,,,,,
12580,Baltimore,7.1192,123430,0.02120,37%,40.44,1.20,8.34,0.08351,1,409.09,161.58,23.87,9,0.64612,2.87163,0.0927,0.05718,0.1815,10.8874,94.0300,9,2.19722,,,,,,,,,
13820,Birmingham,2.7664,39979,0.02750,31%,32.72,0.70,3.1625,0.08441,1,240.65,0.02,7.42,8,0.26229,1.66117,0.0186,0.05032,0.1779,6.5086,93.3480,8,2.07944,,,,,,,,,
14460,Boston,7.9046,233583,0.02980,40%,50.60,0.90,10.28,0.08590,5,584.19,2032.18,87.36,34,22.99161,51.18169,0.1795,0.05626,0.1814,9.9555,95.7190,34,2.19722,,,,,,,,,
14500,Boulder,14.6951,14940,0.03840,38%,60.74,3.50,10.575,0.10866,1,218.17,2470.67,188.84,0,2.87234,7.65958,0.1417,0.13510,0.2400,50.6160,99.3110,0,0.00000,,,,,,,,,
15540,Burlington,5.2346,8280,0.01970,38%,44.30,1.60,4.46,0.08376,0,377.80,134.92,217.22,0,1.38782,3.23824,0.1003,0.08881,0.1532,12.8569,95.5540,0,0.00000,,,,,,,,,
19100,Dallas/Ft. Worth,5.2442,248198,0.08620,34%,29.69,1.50,6.58,0.09208,0,37.99,126.96,31.05,48,2.43014,6.55707,0.0289,0.05018,0.2594,11.6883,92.5600,48,3.87120,,,,,,,,,
19740,Denver,7.5782,110544,0.07600,36%,39.65,1.50,8.6,0.11757,0,126.56,216.58,25.71,25,10.16608,25.56042,0.0758,0.07160,0.2479,20.2862,92.4770,25,3.21888,,,,,,,,,
20500,Durham ,5.0937,18847,0.08040,34%,49.21,2.60,10.9825,0.07643,2,1955.11,1058.51,91.88,1,6.03392,16.25135,0.0768,0.11123,0.2132,14.1107,91.4870,1,0.00000,,,,,,,,,
26900,Indianapolis,5.2169,63643,0.05470,31%,36.07,1.10,5.04,0.09233,0,98.49,252.57,26.03,10,2.07987,4.81922,0.0287,0.05358,0.2020,8.8826,92.4390,10,2.30259,,,,,,,,,
28140,Kansas City,3.4846,79088,0.04200,30%,36.94,1.40,4.62,0.08886,0,43.63,134.55,25.28,12,0.28970,1.97959,0.0275,0.07160,0.1974,11.1884,93.9650,12,2.48491,,,,,,,,,
29820,Las Vegas,3.0812,63895,0.08320,44%,21.92,0.50,1.725,0.09887,0,6.87,18.53,10.15,7,1.59445,8.45541,0.0585,0.08744,0.3203,9.9136,87.8900,7,1.94591,,,,,,,,,
31140,Louisville,5.0931,44050,0.04200,30%,29.8,0.60,2.325,0.09011,1,53.46,21.49,10.58,4,1.26014,3.38662,0.0402,0.05375,0.1765,8.4888,93,4,1.38629,,,,,,,,,
31540,Madison,3.0816,23306,0.04660,36%,46.44,1.20,7.58,0.07531,1,621.84,287.36,63.37,4,2.20894,7.57352,0.1151,0.08524,0.1707,8.9080,97.591,4,1.38629,,,,,,,,,
33460,Minneapolis/St. Paul,5.3092,143531,0.03790,34%,42.82,1.20,7.32,0.09270,1,118.70,213.51,80.07,32,5.37884,12.84628,0.0781,0.04899,0.1966,9.8983,96.222,32,3.46574,,,,,,,,,
34980,Nashville,5.8852,59687,0.07940,33%,35.94,0.70,3.06,0.08821,1,273.65,60.56,11.09,15,3.17965,9.37161,0.0260,0.06854,0.2177,7.8334,94.824,15,2.70805,,,,,,,,,
36740,Orlando,4.0396,67495,0.05920,45%,28.98,1.00,3.31,0.09798,1,7.02,92.49,13.40,3,0.34462,1.68001,0.0333,0.07362,0.2873,10.3702335,92.253,3,1.09861,,,,,,,,,
38060,Phoenix,4.2604,140659,0.07530,38%,26.7,1.10,5.83,0.10791,1,29.55,61.48,29.66,16,1.98258,5.99228,0.0466,0.07257,0.2645,12.69758,93.222,16,2.77259,,,,,,,,,
38300,Pittsburgh,3.9240,93380,-0.00260,28%,37.36,0.90,4.83,0.08648,2,239.90,139.57,28.63,18,2.84384,6.57904,0.0960,0.04219,0.1451,6.622933,94.633,18,2.89037,,,,,,,,,
38900,Portland,4.4916,83216,0.06170,40%,35.86,0.90,6.915,0.08387,0,126.23,142.19,73.74,4,1.32013,5.53604,0.1160,0.07151,0.1662,15.07132,93.825,4,1.38629,,,,,,,,,
39340,Provo,11.7242,12274,0.15880,35%,32.24,1.60,3.24,0.10901,0,6.67,1329.99,54.85,1,0.00000,0.69996,0.0783,0.11147,0.3364,18.082915,95.659,1,0.00000,,,,,,,,,
39580,Raleigh? ,8.0476,41943,0.14970,32%,46.61,1.50,7.065,0.09007,1,82.51,304.35,98.44,5,6.03392,16.25135,0.0272,0.07921,0.2464,16.993465,94.9,5,1.60944,,,,,,,,,
41620,Salt Lake City,7.1960,40718,0.07200,35%,30.82,1.50,4.8025,0.09463,1,191.57,5098.48,36.77,4,6.06933,18.55481,0.0626,0.07249,0.2161,20.106115,93.854,4,1.38629,,,,,,,,,
41740,San Diego,6.7642,131337,0.05350,48%,36.37,1.80,10.38,0.08632,1,310.33,0.00,87.58,6,7.26230,18.07913,0.0670,0.06855,0.1352,10.956435,94.915,6,1.79176,,,,,,,,,
41940,San Jose,7.9688,101241,0.05530,41%,46.98,4.60,15.855,0.08149,1,229.49,115.78,503.36,33,46.94370,101.27290,0.0694,0.05046,0.1755,22.12819,94.764,33,3.49651,,,,,,,,,
42660,Seattle,6.3142,158413,0.05860,40%,40.3,2.70,11.18,0.08312,1,287.28,9.88,105.02,15,6.50964,16.72351,0.1278,0.06766,0.1843,18.789925,94.684,15,2.70805,,,,,,,,,
41180,St. Louis,3.2006,107983,0.01660,31%,34.62,1.10,4.8,0.08465,1,163.72,419.99,22.12,25,2.17375,6.20054,0.0454,0.04801,0.2426,6.9425855,94.128,25,3.21888,,,,,,,,,
45300,Tampa/St. Pete,5.3190,94887,0.03270,40%,27.77,1.00,3.66,0.09998,1,57.24,59.26,14.82,8,5.25642,24.89374,0.0360,0.06374,0.2669,10.2985685,92.425,8,2.07944,,,,,,,,,
47900,"Washington, DC",13.9209,298353,0.06490,37%,50.75,2.00,12.6,0.09962,3,276.02,416.50,28.34,33,10.90535,22.88797,0.1769,0.07952,0.2137,25.737595,95.52,33,3.49651,,,,,,,,,
